bicycle_id,rent_time,rent_station_no,rent_rack,return_time,return_station_no,return_rack,use_time_min,use_dist_m,birth_year,gender,user_type,bicycle_type
SPB-12779,2018-02-01 10:22:15,2306,19,2018-02-01 10:28:12,2305,2,5,1200.0,1982,M,내국인,LCD자전거
SPB-06264,2018-02-01 10:52:28,548,1,2018-02-01 11:17:49,577,2,24,4650.0,1984,M,내국인,LCD자전거
SPB-13176,2018-02-01 11:26:34,1119,2,2018-02-01 11:30:20,1118,6,3,700.0,1987,M,내국인,LCD자전거
SPB-00464,2018-02-01 11:51:36,2315,1,2018-02-01 13:16:36,2315,1,84,1960.0,1987,M,내국인,LCD자전거
SPB-06553,2018-02-01 12:19:43,2056,1,2018-02-01 12:58:36,2034,4,38,7040.0,1981,M,내국인,LCD자전거
SPB-04215,2018-02-01 12:44:18,157,12,2018-02-01 13:31:48,421,5,47,9950.0,1957,M,내국인,LCD자전거
SPB-09090,2018-02-01 13:04:27,575,10,2018-02-01 13:09:13,575,10,4,350.0,1991,M,내국인,LCD자전거
SPB-02591,2018-02-01 13:25:58,1230,7,2018-02-01 13:38:04,1230,8,11,1560.0,1996,M,내국인,LCD자전거
SPB-04653,2018-02-01 13:52:23,1429,1,2018-02-01 14:11:44,1333,15,19,3860.0,1973,M,내국인,LCD자전거
SPB-11684,2018-02-01 14:15:16,634,4,2018-02-01 14:25:38,1403,2,9,1900.0,1988,M,내국인,LCD자전거
SPB-08890,2018-02-01 14:35:17,1628,5,2018-02-01 15:03:05,1332,10,26,8250.0,1978,M,내국인,LCD자전거
SPB-13006,2018-02-01 15:00:31,409,1,2018-02-01 15:03:55,407,3,3,620.0,1982,M,내국인,LCD자전거
SPB-10287,2018-02-01 15:17:57,637,6,2018-02-01 15:41:59,627,1,23,3540.0,1993,M,내국인,LCD자전거
SPB-12393,2018-02-01 15:39:08,198,1,2018-02-01 15:53:55,367,8,14,1880.0,1974,M,내국인,LCD자전거
SPB-10311,2018-02-01 15:58:31,1009,1,2018-02-01 16:26:50,1014,9,26,3210.0,1993,F,내국인,LCD자전거
SPB-05662,2018-02-01 16:19:34,601,10,2018-02-01 16:26:29,605,3,6,1400.0,1982,M,내국인,LCD자전거
SPB-07696,2018-02-01 16:42:59,2219,8,2018-02-01 17:08:17,2239,9,23,4260.0,1996,M,내국인,LCD자전거
SPB-06115,2018-02-01 17:01:22,1916,10,2018-02-01 18:23:45,1913,7,81,4690.0,1972,M,내국인,LCD자전거
SPB-06152,2018-02-01 17:16:54,1109,3,2018-02-01 17:55:58,227,4,38,12140.0,1972,M,내국인,LCD자전거
SPB-08216,2018-02-01 17:35:04,907,1,2018-02-01 18:23:26,106,7,47,8730.0,1992,F,내국인,LCD자전거
SPB-12520,2018-02-01 17:50:27,210,3,2018-02-01 17:58:17,223,5,7,1250.0,1965,M,내국인,LCD자전거
SPB-10910,2018-02-01 18:04:37,409,3,2018-02-01 18:10:53,417,19,5,1410.0,1976,M,내국인,LCD자전거
SPB-08302,2018-02-01 18:11:07,217,7,2018-02-01 19:00:10,1904,4,47,7070.0,1987,M,내국인,LCD자전거
SPB-06529,2018-02-01 18:19:55,539,2,2018-02-01 18:36:00,1437,3,15,2910.0,1984,M,내국인,LCD자전거
SPB-12029,2018-02-01 18:30:17,127,9,2018-02-01 19:58:14,207,3,87,8330.0,1973,M,내국인,LCD자전거
SPB-10675,2018-02-01 18:40:03,421,8,2018-02-01 18:54:36,116,5,13,3060.0,1974,M,내국인,LCD자전거
SPB-13149,2018-02-01 18:51:52,2231,2,2018-02-01 19:01:15,2302,5,8,1290.0,1988,M,내국인,LCD자전거
SPB-10950,2018-02-01 19:04:39,2320,3,2018-02-01 19:25:06,2355,5,19,3140.0,1992,M,내국인,LCD자전거
SPB-05150,2018-02-01 19:18:36,1530,7,2018-02-01 19:29:21,1709,10,10,2010.0,1983,M,내국인,LCD자전거
SPB-04122,2018-02-01 19:33:58,170,1,2018-02-01 20:15:24,192,4,41,3120.0,1980,M,내국인,LCD자전거
SPB-05272,2018-02-01 19:52:30,362,9,2018-02-01 19:56:10,378,10,3,770.0,1961,F,내국인,LCD자전거
SPB-12559,2018-02-01 20:11:45,1511,5,2018-02-01 20:19:26,1514,2,7,1270.0,1984,F,내국인,LCD자전거
SPB-11929,2018-02-01 20:27:47,2143,6,2018-02-01 21:04:52,1901,1,34,8590.0,1986,M,내국인,LCD자전거
SPB-12290,2018-02-01 20:53:28,1135,4,2018-02-01 20:56:24,1132,5,2,580.0,1977,M,내국인,LCD자전거
SPB-09416,2018-02-01 21:10:38,315,2,2018-02-01 21:20:29,309,11,9,1240.0,1990,F,내국인,LCD자전거
SPB-05106,2018-02-01 21:33:52,2013,12,2018-02-01 21:40:13,2050,5,6,910.0,1958,M,내국인,LCD자전거
SPB-09736,2018-02-01 21:55:05,1712,7,2018-02-01 22:21:14,1625,4,24,5770.0,1982,M,내국인,LCD자전거
SPB-09650,2018-02-01 22:13:53,568,1,2018-02-01 22:19:15,363,1,4,600.0,1974,M,내국인,LCD자전거
SPB-07457,2018-02-01 22:36:36,353,4,2018-02-01 22:44:59,302,8,7,1210.0,1989,M,내국인,LCD자전거
SPB-05199,2018-02-01 23:09:16,906,4,2018-02-01 23:18:15,931,9,8,1560.0,1968,F,내국인,LCD자전거
SPB-07924,2018-02-01 23:51:16,334,5,2018-02-01 23:56:19,338,9,4,570.0,1994,F,내국인,LCD자전거
SPB-12312,2018-02-02 00:28:45,521,10,2018-02-02 00:49:40,640,5,19,2980.0,1985,F,내국인,LCD자전거
SPB-11714,2018-02-02 01:09:40,355,2,2018-02-02 01:27:19,451,12,17,2920.0,1979,M,내국인,LCD자전거
SPB-06720,2018-02-02 01:45:23,164,9,2018-02-02 01:57:45,912,10,11,1990.0,1994,F,내국인,LCD자전거
SPB-05272,2018-02-02 02:33:40,378,9,2018-02-02 02:51:02,1338,8,17,3440.0,1987,F,내국인,LCD자전거
SPB-11120,2018-02-02 03:51:02,719,2,2018-02-02 04:14:29,1117,9,23,4650.0,1997,M,내국인,LCD자전거
SPB-09576,2018-02-02 05:54:15,191,2,2018-02-02 06:14:13,412,20,19,3780.0,1994,F,내국인,LCD자전거
SPB-09500,2018-02-02 06:50:10,206,3,2018-02-02 07:11:36,221,7,19,2880.0,1950,M,내국인,LCD자전거
SPB-13327,2018-02-02 07:22:45,164,4,2018-02-02 07:30:10,183,9,7,1770.0,2000,M,내국인,LCD자전거
SPB-03058,2018-02-02 07:42:13,561,10,2018-02-02 07:47:32,509,18,4,910.0,1981,M,내국인,LCD자전거
SPB-05433,2018-02-02 07:58:01,1017,18,2018-02-02 08:03:38,1011,20,5,1010.0,1987,F,내국인,LCD자전거
SPB-09533,2018-02-02 08:10:45,102,18,2018-02-02 08:15:02,107,3,3,890.0,1981,M,내국인,LCD자전거
SPB-02199,2018-02-02 08:20:47,1118,6,2018-02-02 08:26:11,1119,3,5,720.0,1987,M,내국인,LCD자전거
SPB-03225,2018-02-02 08:30:31,408,1,2018-02-02 08:39:07,401,10,8,1090.0,1967,M,내국인,LCD자전거
SPB-07397,2018-02-02 08:38:13,1408,8,2018-02-02 08:51:55,1411,1,12,2810.0,1997,M,내국인,LCD자전거
SPB-10975,2018-02-02 08:45:05,327,2,2018-02-02 08:47:46,326,1,2,340.0,1962,M,내국인,LCD자전거
SPB-12971,2018-02-02 08:53:41,342,3,2018-02-02 08:58:17,344,5,4,890.0,1984,M,내국인,LCD자전거
SPB-00940,2018-02-02 09:08:02,2038,1,2018-02-02 09:18:39,2228,9,10,2210.0,1974,M,내국인,LCD자전거
SPB-07615,2018-02-02 09:28:10,259,15,2018-02-02 10:02:57,113,7,32,7090.0,1989,F,내국인,LCD자전거
SPB-00218,2018-02-02 09:48:23,230,2,2018-02-02 10:02:06,204,8,13,7830.0,1986,M,내국인,LCD자전거
SPB-09206,2018-02-02 10:15:41,153,10,2018-02-02 10:39:31,130,10,22,3140.0,1992,M,내국인,LCD자전거
SPB-05955,2018-02-02 10:45:37,1321,\N,2018-02-02 10:53:43,1328,3,7,1220.0,1991,M,내국인,LCD자전거
SPB-11199,2018-02-02 11:14:52,310,4,2018-02-02 11:19:18,309,8,4,330.0,1965,M,내국인,LCD자전거
SPB-08533,2018-02-02 11:37:19,2115,7,2018-02-02 11:51:03,1812,10,13,2590.0,1995,M,내국인,LCD자전거
SPB-10734,2018-02-02 11:56:57,345,9,2018-02-02 12:49:45,345,13,51,1520.0,1988,M,내국인,LCD자전거
SPB-08904,2018-02-02 12:18:30,624,5,2018-02-02 12:55:45,625,3,36,1680.0,1985,M,내국인,LCD자전거
SPB-05146,2018-02-02 12:37:26,1030,3,2018-02-02 12:52:50,1022,20,15,2730.0,1980,M,내국인,LCD자전거
SPB-13484,2018-02-02 12:54:37,1958,7,2018-02-02 13:33:37,1931,4,38,7200.0,1991,M,내국인,LCD자전거
SPB-12010,2018-02-02 13:10:42,239,5,2018-02-02 13:25:01,201,9,13,2040.0,1985,M,내국인,LCD자전거
SPB-01109,2018-02-02 13:29:04,3505,6,2018-02-02 13:47:42,540,5,18,2660.0,1979,F,내국인,LCD자전거
SPB-06701,2018-02-02 13:51:30,450,3,2018-02-02 13:57:54,305,7,6,1670.0,1961,F,내국인,LCD자전거
SPB-13481,2018-02-02 14:08:44,354,6,2018-02-02 14:14:09,334,6,5,1140.0,1992,M,내국인,LCD자전거
SPB-11730,2018-02-02 14:28:40,1651,13,2018-02-02 14:54:23,1702,5,24,4360.0,1973,M,내국인,LCD자전거
SPB-11404,2018-02-02 14:45:18,592,5,2018-02-02 14:49:39,500,10,4,710.0,1996,M,내국인,LCD자전거
SPB-03417,2018-02-02 15:02:13,1120,7,2018-02-02 15:22:31,1148,3,19,3430.0,1988,M,내국인,LCD자전거
SPB-02916,2018-02-02 15:18:43,148,1,2018-02-02 15:46:11,148,9,27,5410.0,1983,F,내국인,LCD자전거
SPB-12280,2018-02-02 15:36:01,583,12,2018-02-02 16:20:15,565,18,41,5880.0,1965,M,내국인,LCD자전거
SPB-13044,2018-02-02 15:54:19,509,4,2018-02-02 16:35:22,585,1,36,1900.0,1962,M,내국인,LCD자전거
SPB-04405,2018-02-02 16:11:07,820,3,2018-02-02 16:25:40,816,4,14,2510.0,1986,F,내국인,LCD자전거
SPB-05641,2018-02-02 16:27:26,1334,10,2018-02-02 16:32:13,1333,5,4,570.0,1991,F,내국인,LCD자전거
SPB-09556,2018-02-02 16:43:19,2247,5,2018-02-02 16:53:36,2255,18,10,2240.0,1973,M,내국인,LCD자전거
SPB-07497,2018-02-02 17:00:53,114,3,2018-02-02 17:58:32,186,40,55,5980.0,1992,M,내국인,LCD자전거
SPB-11701,2018-02-02 17:15:38,1308,6,2018-02-02 17:45:06,614,20,29,2830.0,1994,M,내국인,LCD자전거
SPB-04875,2018-02-02 17:32:02,2252,11,2018-02-02 17:56:26,2206,18,23,4390.0,1975,M,내국인,LCD자전거
SPB-10194,2018-02-02 17:44:04,311,9,2018-02-02 17:50:19,305,4,6,790.0,1969,M,내국인,LCD자전거
SPB-13120,2018-02-02 17:57:11,2007,1,2018-02-02 19:12:57,2050,1,68,1890.0,1974,F,내국인,LCD자전거
SPB-02233,2018-02-02 18:06:50,1814,6,2018-02-02 18:08:55,1841,5,1,350.0,1981,M,내국인,LCD자전거
SPB-00934,2018-02-02 18:13:23,2327,8,2018-02-02 18:18:43,2333,7,4,640.0,1987,M,내국인,LCD자전거
SPB-13563,2018-02-02 18:20:44,578,1,2018-02-02 18:35:41,553,3,14,3250.0,1990,M,내국인,LCD자전거
SPB-01497,2018-02-02 18:29:38,1011,5,2018-02-02 18:37:16,1029,10,7,1100.0,1993,M,내국인,LCD자전거
SPB-11538,2018-02-02 18:38:17,2050,1,2018-02-02 18:54:54,242,9,15,2970.0,1983,M,내국인,LCD자전거
SPB-09406,2018-02-02 18:45:30,361,9,2018-02-02 18:53:57,364,6,7,720.0,1984,M,내국인,LCD자전거
SPB-12435,2018-02-02 18:58:20,311,8,2018-02-02 19:07:37,173,1,8,1360.0,1977,M,내국인,LCD자전거
SPB-03326,2018-02-02 19:09:05,1530,5,2018-02-02 19:14:31,1535,1,5,1020.0,1970,M,내국인,LCD자전거
SPB-07898,2018-02-02 19:21:43,272,5,2018-02-02 19:25:57,244,5,4,720.0,1984,M,내국인,LCD자전거
SPB-08264,2018-02-02 19:35:04,114,14,2018-02-02 19:48:05,102,17,12,1640.0,1996,F,내국인,LCD자전거
SPB-07365,2018-02-02 19:54:03,211,2,2018-02-02 20:02:02,223,20,7,1300.0,1975,M,내국인,LCD자전거
SPB-10530,2018-02-02 20:16:36,1253,5,2018-02-02 20:32:07,1262,6,15,2650.0,1984,F,내국인,LCD자전거
SPB-11992,2018-02-02 20:40:15,1205,10,2018-02-02 22:18:31,2244,19,98,6920.0,1985,M,내국인,LCD자전거
SPB-02760,2018-02-02 21:03:56,403,19,2018-02-02 21:12:09,415,4,7,1570.0,1988,M,내국인,LCD자전거
SPB-12712,2018-02-02 21:27:58,153,4,2018-02-02 21:32:43,154,10,4,1080.0,1997,F,내국인,LCD자전거
SPB-08896,2018-02-02 21:52:25,2002,1,2018-02-02 23:37:36,2002,10,102,26470.0,1993,M,내국인,LCD자전거
SPB-13544,2018-02-02 22:11:00,158,15,2018-02-02 22:30:33,312,1,19,4300.0,1982,M,내국인,LCD자전거
SPB-10955,2018-02-02 22:32:12,363,1,2018-02-02 22:37:23,364,6,4,970.0,1982,M,내국인,LCD자전거
SPB-05564,2018-02-02 23:03:20,152,30,2018-02-02 23:40:25,174,7,36,5860.0,0000,F,내국인,LCD자전거
SPB-11250,2018-02-02 23:34:23,2102,3,2018-02-02 23:43:46,2103,3,9,1020.0,1969,M,내국인,LCD자전거
SPB-02284,2018-02-03 00:04:30,183,1,2018-02-03 00:21:07,113,1,16,1110.0,1975,M,내국인,LCD자전거
SPB-05936,2018-02-03 00:36:25,537,5,2018-02-03 00:54:38,565,19,17,4150.0,1970,F,내국인,LCD자전거
SPB-02669,2018-02-03 01:06:19,367,6,2018-02-03 01:38:13,914,9,31,7410.0,1998,M,내국인,LCD자전거
SPB-13024,2018-02-03 01:36:15,328,5,2018-02-03 01:43:12,353,4,6,1170.0,1991,M,내국인,LCD자전거
SPB-02072,2018-02-03 02:08:53,2112,2,2018-02-03 02:20:16,2129,9,11,1970.0,\N,\N,비회원,LCD자전거
SPB-09877,2018-02-03 02:51:47,266,9,2018-02-03 03:01:01,244,1,8,1360.0,1978,M,내국인,LCD자전거
SPB-10979,2018-02-03 04:35:44,152,2,2018-02-03 04:47:56,151,1,11,1420.0,1958,F,내국인,LCD자전거
SPB-06395,2018-02-03 07:26:42,207,14,2018-02-03 07:30:02,216,6,2,680.0,1964,M,내국인,LCD자전거
SPB-09997,2018-02-03 08:23:44,258,3,2018-02-03 08:37:06,2050,5,12,2730.0,1993,F,내국인,LCD자전거
SPB-11621,2018-02-03 09:10:44,1118,6,2018-02-03 09:14:16,1115,10,3,720.0,1986,M,내국인,LCD자전거
SPB-10910,2018-02-03 09:47:19,159,6,2018-02-03 09:52:58,99998,2,5,1150.0,1993,M,내국인,LCD자전거
SPB-08493,2018-02-03 10:24:22,526,10,2018-02-03 10:26:52,529,3,2,670.0,1970,M,내국인,LCD자전거
SPB-09091,2018-02-03 11:03:59,327,7,2018-02-03 11:07:38,316,1,3,810.0,1989,M,내국인,LCD자전거
SPB-13024,2018-02-03 11:33:53,351,1,2018-02-03 11:56:49,328,1,20,2500.0,1990,M,내국인,LCD자전거
SPB-06636,2018-02-03 12:00:19,384,6,2018-02-03 12:18:15,302,8,17,2440.0,1963,M,내국인,LCD자전거
SPB-10407,2018-02-03 12:36:25,923,1,2018-02-03 13:29:24,923,1,51,9430.0,1992,M,내국인,LCD자전거
SPB-03515,2018-02-03 12:58:37,1020,1,2018-02-03 13:00:29,1019,3,1,310.0,1987,M,내국인,LCD자전거
SPB-05282,2018-02-03 13:27:31,625,5,2018-02-03 13:53:54,538,6,26,940.0,1987,M,내국인,LCD자전거
SPB-10989,2018-02-03 13:50:38,341,4,2018-02-03 13:54:48,356,1,4,670.0,1955,M,내국인,LCD자전거
SPB-13308,2018-02-03 14:16:14,1231,8,2018-02-03 14:49:50,1227,3,33,6530.0,1990,F,내국인,LCD자전거
SPB-08054,2018-02-03 14:43:48,907,5,2018-02-03 15:10:15,913,13,25,3360.0,1937,M,내국인,LCD자전거
SPB-13329,2018-02-03 15:11:29,549,3,2018-02-03 15:23:52,584,9,11,2790.0,1991,M,내국인,LCD자전거
SPB-04667,2018-02-03 15:40:45,2156,8,2018-02-03 15:53:07,2144,14,12,1270.0,1991,M,내국인,LCD자전거
SPB-12317,2018-02-03 16:03:27,334,7,2018-02-03 16:55:53,613,8,47,4220.0,1961,M,내국인,LCD자전거
SPB-06327,2018-02-03 16:32:02,522,9,2018-02-03 17:00:19,548,20,27,7730.0,1964,M,내국인,LCD자전거
SPB-13049,2018-02-03 16:57:39,186,26,2018-02-03 17:45:25,186,34,45,6210.0,1973,F,내국인,LCD자전거
SPB-09881,2018-02-03 17:26:32,1904,10,2018-02-03 17:58:37,1122,4,30,6550.0,1962,M,내국인,LCD자전거
SPB-13076,2018-02-03 17:53:57,124,20,2018-02-03 17:58:02,129,15,4,530.0,1991,F,내국인,LCD자전거
SPB-03727,2018-02-03 18:21:17,1820,3,2018-02-03 18:28:25,1821,10,6,1010.0,1977,M,내국인,LCD자전거
SPB-05166,2018-02-03 18:55:28,916,3,2018-02-03 19:07:23,923,5,11,1970.0,1971,M,내국인,LCD자전거
SPB-10396,2018-02-03 19:32:28,321,5,2018-02-03 20:50:59,1321,5,75,10930.0,1952,F,내국인,LCD자전거
SPB-12468,2018-02-03 20:24:03,1931,3,2018-02-03 20:33:30,1933,1,8,1570.0,1991,M,내국인,LCD자전거
SPB-13496,2018-02-03 21:17:43,338,5,2018-02-03 21:26:27,390,7,8,1450.0,1993,M,내국인,LCD자전거
SPB-02640,2018-02-03 22:12:55,358,4,2018-02-03 22:16:11,358,4,2,480.0,1990,F,내국인,LCD자전거
SPB-11743,2018-02-03 23:10:10,703,12,2018-02-04 00:58:36,703,11,102,3780.0,1978,F,내국인,LCD자전거
SPB-04917,2018-02-04 00:11:28,334,3,2018-02-04 00:13:49,338,10,2,550.0,1994,M,내국인,LCD자전거
SPB-04937,2018-02-04 01:11:28,238,7,2018-02-04 01:23:24,263,2,11,2420.0,1993,M,내국인,LCD자전거
SPB-06663,2018-02-04 02:19:18,1610,12,2018-02-04 02:52:34,1429,2,32,7260.0,1979,M,내국인,LCD자전거
SPB-12713,2018-02-04 04:04:51,188,2,2018-02-04 04:13:09,175,7,8,1210.0,1971,M,내국인,LCD자전거
SPB-03071,2018-02-04 07:42:30,1009,7,2018-02-04 07:55:04,1004,5,12,1850.0,1984,F,내국인,LCD자전거
SPB-02604,2018-02-04 09:07:30,151,5,2018-02-04 09:37:45,265,3,29,5110.0,1994,F,내국인,LCD자전거
SPB-07908,2018-02-04 10:09:58,349,4,2018-02-04 10:19:53,368,12,9,1280.0,1995,F,내국인,LCD자전거
SPB-11001,2018-02-04 11:10:19,1019,2,2018-02-04 11:16:34,1013,1,5,960.0,1989,F,내국인,LCD자전거
SPB-05575,2018-02-04 11:53:29,161,6,2018-02-04 12:02:53,123,2,9,1830.0,1995,M,내국인,LCD자전거
SPB-10934,2018-02-04 12:31:24,107,2,2018-02-04 12:41:24,154,12,9,1640.0,1986,F,내국인,LCD자전거
SPB-02115,2018-02-04 13:07:21,228,4,2018-02-04 13:27:47,108,4,20,3390.0,1983,M,내국인,LCD자전거
SPB-00974,2018-02-04 13:44:53,123,6,2018-02-04 14:29:45,415,7,44,7420.0,1996,F,내국인,LCD자전거
SPB-06767,2018-02-04 14:20:57,311,34,2018-02-04 14:29:43,322,1,8,1170.0,1967,M,내국인,LCD자전거
SPB-05959,2018-02-04 14:52:16,1123,1,2018-02-04 15:15:33,1123,1,22,2840.0,1983,F,내국인,LCD자전거
SPB-10481,2018-02-04 15:18:33,1424,3,2018-02-04 15:51:26,1403,12,32,3740.0,1993,M,내국인,LCD자전거
SPB-06228,2018-02-04 15:47:48,1233,1,2018-02-04 15:54:35,1221,4,6,930.0,1992,M,내국인,LCD자전거
SPB-01037,2018-02-04 16:17:35,1610,20,2018-02-04 16:46:26,1611,1,28,1800.0,1975,M,내국인,LCD자전거
SPB-10547,2018-02-04 16:50:32,1140,5,2018-02-04 17:04:54,716,15,13,1860.0,1991,M,내국인,LCD자전거
SPB-13326,2018-02-04 17:17:50,1145,4,2018-02-04 17:31:33,714,10,13,2130.0,1991,M,내국인,LCD자전거
SPB-02123,2018-02-04 17:48:56,509,1,2018-02-04 17:58:25,561,10,9,930.0,1986,F,내국인,LCD자전거
SPB-05346,2018-02-04 18:22:59,911,4,2018-02-04 19:16:22,911,6,53,2500.0,1972,M,내국인,LCD자전거
SPB-13589,2018-02-04 18:59:23,540,3,2018-02-04 19:07:33,574,12,7,1150.0,1994,M,내국인,LCD자전거
SPB-13145,2018-02-04 19:43:09,409,3,2018-02-04 19:53:01,400,1,9,1750.0,1974,M,내국인,LCD자전거
SPB-05615,2018-02-04 20:38:15,518,18,2018-02-04 20:56:28,347,5,17,3120.0,1960,F,내국인,LCD자전거
SPB-05223,2018-02-04 21:32:08,228,1,2018-02-04 21:38:57,227,1,6,1140.0,1978,F,내국인,LCD자전거
SPB-01648,2018-02-04 22:33:25,128,1,2018-02-04 22:48:42,126,2,14,1960.0,1996,M,내국인,LCD자전거
SPB-04343,2018-02-04 23:50:36,1024,10,2018-02-05 00:01:51,1010,6,10,1980.0,1991,M,내국인,LCD자전거
SPB-11803,2018-02-05 00:56:39,1911,9,2018-02-05 01:13:44,2135,5,16,43610.0,1973,M,내국인,LCD자전거
SPB-07984,2018-02-05 02:55:17,1504,4,2018-02-05 03:11:44,1530,1,15,3150.0,\N,\N,비회원,LCD자전거
SPB-11376,2018-02-05 06:02:22,2050,8,2018-02-05 06:13:35,250,2,10,1930.0,1967,M,내국인,LCD자전거
SPB-00358,2018-02-05 06:55:47,548,13,2018-02-05 06:59:34,502,8,3,780.0,1983,F,내국인,LCD자전거
SPB-08224,2018-02-05 07:35:49,567,15,2018-02-05 07:41:17,578,7,5,910.0,1987,M,내국인,LCD자전거
SPB-05276,2018-02-05 07:51:58,231,7,2018-02-05 07:55:25,230,3,3,450.0,1990,M,내국인,LCD자전거
SPB-08250,2018-02-05 08:08:36,225,26,2018-02-05 08:12:39,221,10,3,860.0,1976,F,내국인,LCD자전거
SPB-00080,2018-02-05 08:20:06,450,2,2018-02-05 08:23:42,451,11,3,730.0,2002,M,내국인,LCD자전거
SPB-08767,2018-02-05 08:33:06,203,9,2018-02-05 08:39:04,210,2,5,1310.0,1987,M,내국인,LCD자전거
SPB-13540,2018-02-05 08:42:32,512,13,2018-02-05 09:12:31,590,2,29,3330.0,1989,M,내국인,LCD자전거
SPB-10795,2018-02-05 08:52:21,1212,1,2018-02-05 09:24:32,2343,7,30,5430.0,1978,F,내국인,LCD자전거
SPB-04735,2018-02-05 09:12:45,601,7,2018-02-05 09:17:11,614,18,4,790.0,1953,M,내국인,LCD자전거
SPB-08302,2018-02-05 09:38:37,262,3,2018-02-05 09:46:30,240,7,7,590.0,1966,M,내국인,LCD자전거
SPB-07679,2018-02-05 10:11:45,569,3,2018-02-05 10:25:37,511,5,12,2610.0,1981,F,내국인,LCD자전거
SPB-05553,2018-02-05 10:59:32,175,13,2018-02-05 11:04:30,170,10,4,1140.0,1978,M,내국인,LCD자전거
SPB-06720,2018-02-05 11:37:14,405,4,2018-02-05 11:40:29,402,1,2,720.0,1976,M,내국인,LCD자전거
SPB-04095,2018-02-05 12:11:32,341,10,2018-02-05 12:21:05,1306,4,8,1100.0,1993,F,내국인,LCD자전거
SPB-12281,2018-02-05 12:48:44,336,7,2018-02-05 13:30:18,336,8,38,1590.0,1988,F,내국인,LCD자전거
SPB-04881,2018-02-05 13:22:06,923,7,2018-02-05 13:35:52,913,5,13,3290.0,1971,F,내국인,LCD자전거
SPB-06531,2018-02-05 13:56:57,608,9,2018-02-05 14:28:39,608,9,31,1680.0,1994,F,내국인,LCD자전거
SPB-13538,2018-02-05 14:35:04,507,3,2018-02-05 14:50:17,505,3,14,3070.0,1989,M,내국인,LCD자전거
SPB-12303,2018-02-05 15:04:20,349,4,2018-02-05 15:43:04,304,3,38,3310.0,1958,F,내국인,LCD자전거
SPB-05616,2018-02-05 15:35:51,2255,24,2018-02-05 15:48:27,2263,19,12,1750.0,1954,M,내국인,LCD자전거
SPB-02277,2018-02-05 16:11:48,217,3,2018-02-05 16:13:52,224,19,1,320.0,1985,F,내국인,LCD자전거
SPB-09703,2018-02-05 16:39:53,216,6,2018-02-05 16:42:58,209,1,2,640.0,1995,F,내국인,LCD자전거
SPB-10867,2018-02-05 17:06:21,114,4,2018-02-05 17:19:11,192,10,12,2360.0,1995,M,내국인,LCD자전거
SPB-10491,2018-02-05 17:33:04,1348,2,2018-02-05 17:38:54,1318,10,5,450.0,1993,M,내국인,LCD자전거
SPB-07874,2018-02-05 17:56:33,546,7,2018-02-05 18:06:30,551,9,9,1700.0,1998,M,내국인,LCD자전거
