bicycle_id,rent_time,rent_station_no,rent_rack,return_time,return_station_no,return_rack,use_time_min,use_dist_m,birth_year,gender,user_type,bicycle_type
SPB-05487,2018-02-01 00:00:02,129,10,2018-02-01 00:04:09,121,15,3,790.0,1980,M,내국인,LCD자전거
SPB-11284,2018-02-01 00:42:40,2355,14,2018-02-01 00:45:41,2315,2,2,710.0,1982,M,내국인,LCD자전거
SPB-05106,2018-02-01 01:20:26,565,2,2018-02-01 01:34:22,825,4,13,3910.0,1971,M,내국인,LCD자전거
SPB-12810,2018-02-01 02:02:22,358,4,2018-02-01 02:06:42,359,5,4,790.0,1991,M,내국인,LCD자전거
SPB-03384,2018-02-01 02:56:20,1128,6,2018-02-01 03:08:50,1131,7,12,1310.0,1978,M,내국인,LCD자전거
SPB-10325,2018-02-01 04:08:48,346,9,2018-02-01 04:16:55,339,2,7,1340.0,1987,M,내국인,LCD자전거
SPB-04133,2018-02-01 06:20:00,1401,4,2018-02-01 06:59:14,626,4,38,7860.0,1966,F,내국인,LCD자전거
SPB-13144,2018-02-01 07:10:42,540,1,2018-02-01 07:24:10,501,2,13,2390.0,1970,M,내국인,LCD자전거
SPB-13405,2018-02-01 07:38:21,1117,10,2018-02-01 07:51:54,1122,1,13,2520.0,1992,M,내국인,LCD자전거
SPB-09598,2018-02-01 07:54:06,155,9,2018-02-01 08:10:13,124,7,16,3220.0,1970,M,내국인,LCD자전거
SPB-13494,2018-02-01 08:09:21,1011,5,2018-02-01 08:17:16,1020,5,7,1390.0,1977,M,내국인,LCD자전거
SPB-05946,2018-02-01 08:20:33,1906,5,2018-02-01 08:37:13,232,5,16,3320.0,1967,M,내국인,LCD자전거
SPB-06227,2018-02-01 08:30:47,3508,1,2018-02-01 08:40:34,513,1,9,2200.0,1989,M,내국인,LCD자전거
SPB-07115,2018-02-01 08:40:13,1911,9,2018-02-01 08:47:04,1962,3,6,1160.0,1976,M,내국인,LCD자전거
SPB-13394,2018-02-01 08:51:06,1214,10,2018-02-01 09:09:15,1245,1,17,3230.0,1973,M,내국인,LCD자전거
SPB-12130,2018-02-01 09:04:53,1117,8,2018-02-01 09:07:55,1124,2,2,590.0,1983,M,내국인,LCD자전거
SPB-08435,2018-02-01 09:26:31,818,9,2018-02-01 09:56:30,803,10,27,4960.0,1985,M,내국인,LCD자전거
SPB-07340,2018-02-01 09:49:06,2330,8,2018-02-01 09:52:55,2327,4,3,850.0,1974,M,내국인,LCD자전거
