bicycle_id,rent_time,rent_station_no,rent_rack,return_time,return_station_no,return_rack,use_time_min,use_dist_m,birth_year,gender,user_type,bicycle_type
SPB-02041,2018-01-01 00:00:10,227,9,2018-01-01 00:04:03,227,9,3,50.0,1990,F,내국인,LCD자전거
SPB-09947,2018-01-01 00:30:03,305,12,2018-01-01 00:38:04,349,7,7,1290.0,1979,M,내국인,LCD자전거
SPB-02124,2018-01-01 00:49:54,338,5,2018-01-01 01:01:21,341,9,11,1830.0,1995,M,내국인,LCD자전거
SPB-08310,2018-01-01 01:08:27,1248,7,2018-01-01 01:41:06,1018,1,33,3120.0,1990,M,내국인,LCD자전거
SPB-02369,2018-01-01 01:26:06,1535,4,2018-01-01 01:35:08,1501,5,8,1340.0,1991,F,내국인,LCD자전거
SPB-01759,2018-01-01 01:48:43,105,1,2018-01-01 02:08:19,419,1,19,3020.0,1973,M,내국인,LCD자전거
SPB-12903,2018-01-01 02:11:15,309,5,2018-01-01 02:21:06,331,1,9,1720.0,1989,M,내국인,LCD자전거
SPB-06213,2018-01-01 02:38:04,3504,8,2018-01-01 03:09:54,572,19,31,5190.0,\N,\N,비회원,LCD자전거
SPB-04841,2018-01-01 03:07:01,633,3,2018-01-01 03:21:00,634,13,13,2390.0,1995,M,내국인,LCD자전거
SPB-04698,2018-01-01 03:48:15,102,11,2018-01-01 04:12:09,194,8,23,3600.0,1990,M,내국인,LCD자전거
SPB-05880,2018-01-01 04:53:23,537,6,2018-01-01 05:16:23,512,11,22,1570.0,1995,F,내국인,LCD자전거
SPB-03900,2018-01-01 06:22:55,1221,5,2018-01-01 06:52:37,1267,13,29,4310.0,1986,M,내국인,LCD자전거
SPB-05995,2018-01-01 07:40:06,312,3,2018-01-01 08:06:12,364,1,25,5240.0,1961,M,내국인,LCD자전거
SPB-04660,2018-01-01 08:43:13,1248,11,2018-01-01 09:17:50,1221,4,34,4170.0,1986,M,내국인,LCD자전거
SPB-06467,2018-01-01 09:34:45,927,1,2018-01-01 10:06:32,418,6,31,6680.0,1975,M,내국인,LCD자전거
SPB-13287,2018-01-01 10:24:36,160,3,2018-01-01 10:33:23,311,30,8,2190.0,1970,M,내국인,LCD자전거
SPB-10186,2018-01-01 11:00:32,805,9,2018-01-01 11:03:10,819,3,2,640.0,1983,M,내국인,LCD자전거
SPB-09003,2018-01-01 11:34:54,1619,5,2018-01-01 11:46:10,1625,6,10,1630.0,1980,M,내국인,LCD자전거
SPB-02746,2018-01-01 12:03:52,302,6,2018-01-01 12:11:41,304,1,7,800.0,1997,F,내국인,LCD자전거
SPB-10826,2018-01-01 12:29:09,194,3,2018-01-01 12:36:44,191,2,7,1130.0,1969,M,내국인,LCD자전거
SPB-05330,2018-01-01 12:52:02,1139,3,2018-01-01 12:58:27,1136,8,6,950.0,1992,M,내국인,LCD자전거
SPB-05290,2018-01-01 13:11:38,637,8,2018-01-01 13:46:04,610,5,34,3140.0,1991,F,내국인,LCD자전거
SPB-10575,2018-01-01 13:32:10,1011,6,2018-01-01 14:06:57,1211,6,33,4770.0,1984,M,내국인,LCD자전거
SPB-12748,2018-01-01 13:52:23,3514,4,2018-01-01 14:09:42,346,1,16,1530.0,1991,F,내국인,LCD자전거
SPB-05966,2018-01-01 14:09:40,186,37,2018-01-01 14:58:13,186,36,48,7030.0,1971,M,내국인,LCD자전거
SPB-10535,2018-01-01 14:27:51,114,15,2018-01-01 16:22:45,103,5,114,1460.0,1987,F,내국인,LCD자전거
SPB-05992,2018-01-01 14:43:58,544,2,2018-01-01 16:08:28,542,1,84,14470.0,1978,F,내국인,LCD자전거
SPB-05165,2018-01-01 15:00:03,446,10,2018-01-01 15:19:55,446,10,19,3580.0,1968,M,내국인,LCD자전거
SPB-13463,2018-01-01 15:14:15,1328,2,2018-01-01 16:50:23,1328,7,95,14320.0,1969,M,내국인,LCD자전거
SPB-12344,2018-01-01 15:27:38,614,17,2018-01-01 15:36:28,1308,7,8,710.0,1996,F,내국인,LCD자전거
SPB-04158,2018-01-01 15:42:19,574,3,2018-01-01 15:56:46,571,3,14,2210.0,1991,F,내국인,LCD자전거
SPB-05318,2018-01-01 15:59:26,1440,1,2018-01-01 16:12:06,1425,3,12,1770.0,1979,M,내국인,LCD자전거
SPB-04618,2018-01-01 16:17:00,543,9,2018-01-01 16:44:40,543,18,27,1950.0,\N,\N,비회원,LCD자전거
SPB-08153,2018-01-01 16:34:29,2217,14,2018-01-01 17:15:09,2217,18,38,7780.0,1971,M,내국인,LCD자전거
SPB-12631,2018-01-01 16:51:20,500,5,2018-01-01 16:56:26,590,3,4,860.0,1993,M,내국인,LCD자전거
SPB-04524,2018-01-01 17:08:05,641,7,2018-01-01 17:15:16,624,1,6,870.0,1994,M,내국인,LCD자전거
SPB-09420,2018-01-01 17:26:58,451,8,2018-01-01 17:32:32,304,2,5,1330.0,1972,M,내국인,LCD자전거
SPB-10568,2018-01-01 17:47:20,1129,6,2018-01-01 17:53:37,1126,7,5,940.0,1993,M,내국인,LCD자전거
SPB-05010,2018-01-01 18:12:12,101,1,2018-01-01 21:13:26,101,1,180,30130.0,1996,F,내국인,LCD자전거
SPB-13357,2018-01-01 18:37:07,184,7,2018-01-01 18:53:14,166,20,15,2950.0,1982,M,내국인,LCD자전거
SPB-00141,2018-01-01 19:04:31,1218,3,2018-01-01 19:43:51,1265,8,17,3970.0,1990,M,내국인,LCD자전거
SPB-03509,2018-01-01 19:54:57,406,5,2018-01-01 20:04:39,400,7,9,1400.0,1962,F,내국인,LCD자전거
SPB-11559,2018-01-01 20:21:01,226,1,2018-01-01 20:59:56,818,12,36,5960.0,1996,F,내국인,LCD자전거
SPB-01022,2018-01-01 20:40:26,1529,6,2018-01-01 20:56:31,1503,1,15,1190.0,1975,F,내국인,LCD자전거
SPB-12019,2018-01-01 21:10:39,236,4,2018-01-01 21:13:54,240,8,3,340.0,1984,M,내국인,LCD자전거
SPB-10702,2018-01-01 21:33:39,2139,7,2018-01-01 22:40:52,2140,3,65,76430.0,1989,M,내국인,LCD자전거
SPB-10535,2018-01-01 22:03:25,103,5,2018-01-01 22:09:38,154,2,6,1210.0,1985,M,내국인,LCD자전거
SPB-04803,2018-01-01 22:30:54,614,7,2018-01-01 22:35:44,1308,3,4,680.0,1993,M,내국인,LCD자전거
SPB-13658,2018-01-01 23:05:52,1256,3,2018-01-01 23:19:24,1217,6,13,2150.0,1991,F,내국인,LCD자전거
SPB-01550,2018-01-01 23:38:55,335,2,2018-01-01 23:43:03,339,6,3,720.0,1994,M,내국인,LCD자전거
SPB-03296,2018-01-02 00:16:54,1120,5,2018-01-02 01:49:42,1123,3,92,7610.0,1951,M,내국인,LCD자전거
SPB-09902,2018-01-02 00:55:25,238,4,2018-01-02 01:06:01,263,2,10,2380.0,1993,M,내국인,LCD자전거
SPB-04597,2018-01-02 01:36:18,2115,15,2018-01-02 01:48:24,1912,2,11,1760.0,1974,M,내국인,LCD자전거
SPB-05975,2018-01-02 02:41:48,229,2,2018-01-02 03:01:23,1118,2,19,5220.0,1994,M,내국인,LCD자전거
SPB-07707,2018-01-02 05:01:00,805,7,2018-01-02 06:10:44,812,1,66,2060.0,1957,M,내국인,LCD자전거
SPB-01303,2018-01-02 06:23:18,2359,4,2018-01-02 06:31:15,2255,4,7,1620.0,1970,M,내국인,LCD자전거
SPB-09976,2018-01-02 06:57:53,2250,3,2018-01-02 07:21:28,2242,20,21,4230.0,1963,M,내국인,LCD자전거
SPB-05767,2018-01-02 07:24:41,2145,10,2018-01-02 07:40:39,252,3,15,3190.0,1988,M,내국인,LCD자전거
